,intended vote,education,age
8437,leave,5.0,41
8438,stay,5.0,54
8439,stay,4.0,44
8440,stay,3.0,47
8441,don't know,,65
8442,leave,3.0,66
8443,stay,4.0,74
8444,leave,3.0,38
8445,stay,5.0,65
8446,leave,,55
8447,stay,4.0,65
8448,leave,,72
8449,leave,3.0,26
8450,leave,4.0,50
8451,stay,2.0,55
8452,leave,2.0,48
8453,stay,4.0,62
8454,stay,4.0,51
8455,stay,5.0,63
8456,leave,4.0,80
8457,leave,2.0,44
8458,leave,,71
8459,leave,4.0,67
8460,stay,4.0,39
8461,don't know,3.0,55
8462,stay,4.0,70
8463,leave,1.0,63
8464,leave,4.0,48
8465,stay,5.0,63
8466,stay,4.0,38
8467,leave,4.0,49
8468,stay,,40
8469,don't know,,57
8470,stay,2.0,67
8471,stay,4.0,70
8472,don't know,1.0,78
8473,leave,2.0,52
8474,stay,4.0,64
8475,leave,4.0,73
8476,stay,2.0,68
8477,leave,2.0,66
8478,stay,,56
8479,stay,4.0,45
8480,stay,,63
8481,leave,2.0,46
8482,stay,4.0,60
8483,leave,,68
8484,stay,4.0,58
8485,leave,5.0,65
8486,stay,,78
8487,leave,4.0,61
8488,leave,1.0,50
8489,stay,4.0,67
8490,stay,3.0,39
8491,leave,4.0,55
8492,leave,3.0,69
8493,stay,4.0,65
8494,leave,1.0,46
8495,leave,4.0,40
8496,leave,3.0,67
8497,stay,5.0,32
8498,leave,3.0,43
8499,don't know,2.0,59
8500,leave,4.0,68
8501,stay,5.0,59
8502,stay,5.0,39
8503,stay,3.0,70
8504,stay,4.0,64
8505,stay,4.0,64
8506,stay,3.0,68
8507,stay,,71
8508,stay,4.0,63
8509,stay,4.0,48
8510,leave,2.0,71
8511,stay,3.0,52
8512,leave,,82
8513,leave,4.0,68
8514,stay,5.0,52
8515,stay,4.0,29
8516,leave,3.0,63
8517,leave,3.0,46
8518,stay,4.0,77
8519,don't know,5.0,37
8520,leave,,58
8521,leave,4.0,41
8522,leave,1.0,74
8523,leave,1.0,59
8524,stay,5.0,69
8525,stay,5.0,54
8526,stay,2.0,51
8527,leave,4.0,63
8528,don't know,4.0,45
8529,leave,4.0,54
8530,don't know,,43
8531,stay,4.0,45
8532,stay,3.0,58
8533,leave,3.0,64
8534,stay,4.0,68
8535,leave,3.0,76
8536,stay,4.0,54
8537,leave,,68
8538,leave,2.0,69
8539,leave,2.0,53
8540,leave,4.0,38
8541,leave,4.0,59
8542,leave,2.0,47
8543,stay,4.0,39
8544,leave,2.0,70
8545,leave,3.0,64
8546,stay,4.0,55
8547,leave,2.0,26
8548,stay,5.0,34
8549,don't know,4.0,32
8550,leave,,54
8551,stay,2.0,51
8552,stay,3.0,69
8553,leave,3.0,51
8554,leave,4.0,36
8555,leave,4.0,51
8556,leave,4.0,51
8557,don't know,4.0,53
8558,leave,3.0,75
8559,stay,4.0,75
8560,don't know,3.0,69
8561,stay,5.0,58
8562,leave,4.0,66
8563,stay,5.0,36
8564,leave,4.0,40
8565,stay,4.0,41
8566,leave,2.0,73
8567,leave,,56
8568,won't vote,3.0,54
8569,won't vote,,29
8570,stay,4.0,39
8571,leave,3.0,26
8572,leave,2.0,57
8573,leave,3.0,58
8574,stay,4.0,30
8575,don't know,,63
8576,leave,2.0,73
8577,leave,2.0,58
8578,stay,3.0,53
8579,don't know,3.0,49
8580,stay,3.0,51
8581,stay,3.0,62
8582,leave,4.0,59
8583,leave,,80
8584,stay,5.0,29
8585,leave,4.0,45
8586,leave,3.0,66
8587,don't know,4.0,28
8588,stay,4.0,41
8589,leave,1.0,82
8590,don't know,4.0,37
8591,leave,2.0,59
8592,leave,,68
8593,stay,3.0,37
8594,leave,2.0,70
8595,stay,4.0,66
8596,leave,4.0,40
8597,stay,4.0,68
8598,stay,4.0,38
8599,leave,4.0,60
8600,leave,4.0,60
8601,don't know,1.0,61
8602,leave,2.0,71
8603,don't know,5.0,63
8604,leave,3.0,64
8605,leave,,53
8606,don't know,,77
8607,stay,2.0,58
8608,stay,2.0,60
8609,leave,3.0,61
8610,leave,3.0,46
8611,stay,4.0,28
8612,leave,2.0,49
8613,leave,5.0,37
8614,stay,4.0,71
8615,leave,3.0,50
8616,leave,3.0,95
8617,stay,,45
8618,don't know,4.0,38
8619,leave,2.0,59
8620,leave,1.0,64
8621,stay,4.0,41
8622,leave,,65
8623,stay,5.0,24
8624,leave,1.0,75
8625,leave,,69
8626,leave,3.0,62
8627,leave,4.0,70
8628,stay,,38
8629,stay,4.0,60
8630,stay,5.0,35
8631,stay,2.0,53
8632,stay,4.0,52
8633,don't know,4.0,77
8634,leave,4.0,36
8635,don't know,4.0,53
8636,don't know,4.0,36
8637,leave,,74
8638,stay,2.0,51
8639,stay,4.0,62
8640,leave,,66
8641,leave,4.0,59
8642,leave,4.0,63
8643,leave,,70
8644,leave,4.0,31
8645,stay,4.0,69
8646,don't know,4.0,69
8647,stay,3.0,61
8648,leave,2.0,57
8649,don't know,4.0,68
8650,leave,,64
8651,leave,1.0,77
8652,leave,2.0,54
8653,don't know,2.0,52
8654,stay,4.0,46
8655,leave,1.0,67
8656,don't know,,58
8657,stay,4.0,39
8658,stay,4.0,59
8659,stay,4.0,30
8660,leave,4.0,62
8661,stay,2.0,63
8662,leave,2.0,48
8663,leave,,46
8664,stay,3.0,67
8665,leave,4.0,71
8666,stay,3.0,51
8667,stay,2.0,63
8668,stay,4.0,26
8669,stay,3.0,57
8670,stay,,66
8671,don't know,2.0,61
8672,leave,2.0,48
8673,leave,4.0,46
8674,stay,5.0,32
8675,stay,2.0,46
8676,leave,,82
8677,leave,2.0,75
8678,stay,2.0,49
8679,stay,3.0,60
8680,leave,1.0,66
8681,stay,2.0,46
8682,leave,4.0,43
8683,stay,4.0,42
8684,stay,5.0,52
8685,stay,4.0,55
8686,leave,4.0,45
8687,don't know,2.0,35
8688,stay,4.0,31
8689,leave,1.0,64
8690,leave,3.0,51
8691,leave,,66
8692,leave,3.0,51
8693,leave,1.0,64
8694,stay,4.0,32
8695,leave,,45
8696,leave,2.0,43
8697,don't know,4.0,38
8698,stay,1.0,68
8699,stay,3.0,57
8700,leave,,58
8701,leave,4.0,67
8702,stay,4.0,42
8703,stay,4.0,26
8704,leave,3.0,60
8705,stay,5.0,72
8706,leave,3.0,40
8707,stay,4.0,47
8708,stay,2.0,45
8709,stay,5.0,64
8710,stay,4.0,26
8711,leave,4.0,34
8712,stay,4.0,61
8713,stay,2.0,33
8714,stay,4.0,78
8715,stay,3.0,26
8716,leave,3.0,67
8717,leave,4.0,55
8718,stay,2.0,46
8719,stay,4.0,62
8720,stay,4.0,65
8721,stay,5.0,39
8722,stay,4.0,35
8723,stay,2.0,69
8724,stay,4.0,67
8725,stay,2.0,38
8726,stay,4.0,65
8727,leave,,69
8728,leave,3.0,69
8729,leave,5.0,69
8730,leave,,49
8731,stay,5.0,31
8732,leave,4.0,54
8733,leave,1.0,66
8734,stay,5.0,27
8735,stay,2.0,60
8736,leave,2.0,53
8737,leave,4.0,29
8738,stay,3.0,54
8739,leave,5.0,25
8740,leave,4.0,60
8741,leave,3.0,59
8742,stay,4.0,44
8743,stay,2.0,67
8744,stay,5.0,33
8745,don't know,4.0,48
8746,leave,5.0,43
8747,leave,1.0,59
8748,leave,1.0,68
8749,leave,4.0,59
8750,stay,4.0,32
8751,stay,2.0,71
8752,don't know,5.0,41
8753,leave,4.0,65
8754,stay,4.0,63
8755,leave,4.0,39
8756,stay,4.0,56
8757,leave,5.0,59
8758,leave,4.0,70
8759,leave,4.0,67
8760,don't know,3.0,57
8761,stay,5.0,46
8762,stay,4.0,62
8763,leave,2.0,37
8764,stay,4.0,37
8765,stay,4.0,51
8766,leave,3.0,70
8767,leave,2.0,48
8768,stay,,70
8769,don't know,4.0,41
8770,leave,1.0,72
8771,stay,4.0,37
8772,stay,5.0,60
8773,stay,4.0,45
8774,stay,5.0,63
8775,stay,4.0,50
8776,leave,1.0,65
8777,stay,,60
8778,won't vote,3.0,36
8779,stay,4.0,82
8780,stay,4.0,67
8781,leave,2.0,48
8782,stay,1.0,47
8783,leave,2.0,56
8784,leave,2.0,73
8785,stay,1.0,67
8786,stay,4.0,66
8787,leave,3.0,60
8788,leave,2.0,64
8789,leave,4.0,57
8790,leave,2.0,64
8791,stay,5.0,51
8792,stay,3.0,63
8793,stay,4.0,69
8794,stay,4.0,69
8795,stay,3.0,65
8796,stay,4.0,54
8797,stay,4.0,63
8798,stay,4.0,67
8799,leave,2.0,59
8800,leave,4.0,67
8801,leave,3.0,47
8802,leave,4.0,50
8803,leave,4.0,74
8804,stay,4.0,77
8805,leave,4.0,67
8806,leave,3.0,70
8807,stay,4.0,58
8808,stay,4.0,38
8809,stay,3.0,74
8810,stay,3.0,68
8811,stay,4.0,57
8812,won't vote,,61
8813,stay,4.0,41
8814,leave,4.0,58
8815,stay,4.0,36
8816,leave,,54
8817,leave,4.0,46
8818,leave,,72
8819,stay,4.0,35
8820,stay,4.0,66
8821,leave,4.0,54
8822,leave,2.0,46
8823,stay,4.0,60
8824,don't know,2.0,65
8825,stay,4.0,60
8826,leave,4.0,49
8827,stay,4.0,50
8828,stay,4.0,46
8829,don't know,1.0,48
8830,stay,4.0,30
8831,won't vote,2.0,56
8832,stay,4.0,66
8833,stay,1.0,59
8834,leave,5.0,70
8835,leave,2.0,61
8836,leave,3.0,73
8837,leave,1.0,71
8838,leave,3.0,40
8839,don't know,,48
8840,stay,5.0,63
8841,leave,4.0,54
8842,leave,,32
8843,stay,3.0,54
8844,leave,4.0,73
8845,stay,4.0,82
8846,stay,4.0,70
8847,leave,2.0,63
8848,stay,4.0,41
8849,leave,4.0,73
8850,leave,2.0,62
8851,stay,4.0,35
8852,stay,4.0,57
8853,leave,4.0,57
8854,leave,1.0,87
8855,leave,2.0,59
8856,leave,4.0,63
8857,leave,3.0,71
8858,leave,4.0,70
8859,stay,5.0,49
8860,leave,3.0,55
8861,stay,3.0,60
8862,stay,4.0,59
8863,stay,4.0,25
8864,stay,2.0,31
8865,leave,2.0,51
8866,leave,2.0,65
8867,stay,4.0,72
8868,stay,2.0,61
8869,stay,3.0,70
8870,leave,2.0,62
8871,leave,3.0,33
8872,don't know,4.0,66
8873,stay,2.0,63
8874,stay,4.0,36
8875,stay,4.0,46
8876,leave,2.0,44
8877,leave,1.0,61
8878,stay,,44
8879,stay,4.0,73
8880,leave,5.0,52
8881,leave,4.0,32
8882,stay,,77
8883,leave,2.0,48
8884,don't know,4.0,58
8885,don't know,5.0,45
8886,don't know,,65
8887,leave,,65
8888,leave,4.0,76
8889,leave,4.0,58
8890,stay,,46
8891,stay,4.0,63
8892,leave,1.0,67
8893,leave,4.0,71
8894,stay,5.0,29
8895,stay,4.0,50
8896,leave,2.0,64
8897,stay,2.0,57
8898,leave,3.0,66
8899,leave,3.0,47
8900,leave,,74
8901,stay,5.0,63
8902,stay,,76
8903,leave,3.0,72
8904,leave,3.0,66
8905,leave,4.0,58
8906,leave,4.0,57
8907,don't know,5.0,56
8908,leave,4.0,70
8909,leave,1.0,78
8910,stay,4.0,56
8911,stay,4.0,68
8912,stay,4.0,60
8913,leave,3.0,63
8914,leave,2.0,59
8915,leave,1.0,70
8916,leave,3.0,55
8917,stay,5.0,59
8918,stay,4.0,45
8919,stay,5.0,69
8920,stay,,70
8921,leave,2.0,73
8922,leave,,58
8923,leave,1.0,65
8924,stay,5.0,51
8925,stay,5.0,75
8926,leave,2.0,33
8927,stay,2.0,47
8928,leave,5.0,40
8929,leave,4.0,48
8930,stay,4.0,77
8931,stay,2.0,38
8932,leave,2.0,63
8933,leave,4.0,36
8934,leave,4.0,60
8935,stay,2.0,62
8936,stay,5.0,74
8937,don't know,4.0,43
8938,leave,4.0,61
8939,stay,1.0,71
8940,stay,4.0,54
8941,stay,4.0,49
8942,leave,3.0,53
8943,stay,5.0,27
8944,don't know,3.0,36
8945,stay,3.0,68
8946,leave,2.0,44
8947,stay,2.0,48
8948,leave,3.0,53
8949,stay,3.0,31
8950,stay,4.0,29
8951,leave,,71
8952,stay,5.0,74
8953,leave,2.0,36
8954,leave,2.0,49
8955,stay,5.0,35
8956,stay,5.0,70
8957,stay,4.0,62
8958,stay,4.0,42
8959,leave,5.0,53
8960,stay,5.0,36
8961,leave,3.0,68
8962,stay,2.0,70
8963,leave,4.0,67
8964,leave,2.0,47
8965,leave,4.0,57
8966,stay,4.0,46
8967,stay,4.0,66
8968,won't vote,3.0,64
8969,stay,2.0,80
8970,don't know,4.0,43
8971,leave,3.0,40
8972,stay,4.0,59
8973,leave,,64
8974,stay,4.0,46
8975,leave,2.0,63
8976,leave,3.0,64
8977,leave,4.0,59
8978,stay,4.0,68
8979,stay,,44
8980,leave,,52
8981,leave,,65
8982,leave,4.0,61
8983,stay,1.0,85
8984,leave,,39
8985,stay,4.0,63
8986,stay,5.0,39
8987,stay,4.0,52
8988,stay,5.0,61
8989,leave,,58
8990,stay,4.0,42
8991,leave,2.0,74
8992,leave,5.0,43
8993,leave,4.0,66
8994,leave,4.0,49
8995,stay,3.0,61
8996,leave,4.0,61
8997,stay,1.0,68
8998,leave,4.0,35
8999,leave,2.0,53
9000,leave,4.0,40
9001,stay,,57
9002,stay,2.0,45
9003,stay,4.0,51
9004,leave,4.0,37
9005,leave,3.0,44
9006,stay,4.0,63
9007,stay,,49
9008,stay,5.0,32
9009,stay,,60
9010,leave,1.0,49
9011,don't know,3.0,57
9012,don't know,2.0,67
9013,leave,,58
9014,stay,4.0,61
9015,stay,,67
9016,don't know,4.0,53
9017,leave,3.0,57
9018,stay,5.0,42
9019,don't know,,34
9020,stay,4.0,48
9021,leave,5.0,66
9022,leave,4.0,64
9023,stay,5.0,71
9024,leave,1.0,69
9025,leave,4.0,86
9026,stay,3.0,62
9027,won't vote,3.0,61
9028,stay,4.0,61
9029,leave,2.0,69
9030,leave,4.0,61
9031,don't know,3.0,34
9032,don't know,,61
9033,leave,4.0,52
9034,leave,3.0,68
9035,leave,,57
9036,leave,2.0,55
9037,stay,4.0,67
9038,leave,3.0,41
9039,leave,2.0,68
9040,leave,3.0,78
9041,stay,5.0,67
9042,leave,1.0,73
9043,leave,3.0,73
9044,leave,3.0,72
9045,leave,,56
9046,leave,2.0,74
9047,stay,3.0,61
9048,leave,2.0,70
9049,stay,,46
9050,stay,5.0,69
9051,leave,4.0,57
9052,stay,2.0,51
9053,leave,4.0,64
9054,leave,2.0,47
9055,stay,4.0,69
9056,stay,2.0,61
9057,leave,2.0,61
9058,stay,4.0,59
9059,leave,4.0,76
9060,stay,5.0,34
9061,don't know,2.0,69
9062,leave,4.0,62
9063,leave,,37
9064,stay,4.0,56
9065,don't know,1.0,58
9066,leave,2.0,58
9067,don't know,3.0,71
9068,leave,2.0,54
9069,don't know,,57
9070,stay,3.0,60
9071,leave,4.0,51
9072,stay,4.0,68
9073,leave,4.0,60
9074,stay,2.0,58
9075,leave,4.0,56
9076,stay,,58
9077,stay,,65
9078,leave,3.0,68
9079,stay,,63
9080,leave,4.0,59
9081,leave,2.0,56
9082,leave,4.0,63
9083,stay,4.0,67
9084,leave,3.0,50
9085,leave,2.0,67
9086,stay,2.0,49
9087,leave,4.0,56
9088,leave,4.0,33
9089,leave,2.0,68
9090,leave,4.0,58
9091,leave,4.0,33
9092,stay,,62
9093,leave,3.0,46
9094,stay,5.0,38
9095,leave,4.0,33
9096,don't know,2.0,41
9097,stay,4.0,63
9098,stay,5.0,31
9099,leave,2.0,63
9100,leave,4.0,75
9101,stay,1.0,81
9102,leave,2.0,70
9103,stay,4.0,65
9104,leave,4.0,63
9105,leave,1.0,60
9106,stay,1.0,76
9107,stay,,62
9108,leave,5.0,81
9109,leave,2.0,66
9110,stay,2.0,61
9111,leave,,71
9112,stay,4.0,54
9113,leave,4.0,41
9114,leave,2.0,80
9115,don't know,,60
9116,leave,2.0,45
9117,leave,1.0,78
9118,leave,2.0,66
9119,stay,4.0,61
9120,leave,4.0,66
9121,stay,2.0,46
9122,stay,2.0,72
9123,leave,2.0,64
9124,leave,2.0,73
9125,leave,4.0,55
9126,leave,2.0,66
9127,leave,3.0,76
9128,leave,3.0,56
9129,leave,,88
9130,won't vote,,36
9131,leave,,62
9132,stay,2.0,67
9133,stay,,46
9134,leave,3.0,56
9135,stay,4.0,43
9136,stay,3.0,60
9137,leave,5.0,68
9138,leave,4.0,75
9139,leave,4.0,80
9140,stay,3.0,67
9141,stay,5.0,60
9142,leave,,55
9143,leave,,67
9144,leave,4.0,62
9145,leave,,56
9146,leave,4.0,73
9147,don't know,3.0,70
9148,stay,2.0,55
9149,stay,3.0,64
9150,leave,4.0,57
9151,leave,3.0,62
9152,stay,3.0,62
9153,don't know,4.0,53
9154,leave,1.0,69
9155,leave,,68
9156,leave,4.0,69
9157,stay,2.0,69
9158,leave,1.0,42
9159,stay,5.0,59
9160,don't know,4.0,62
9161,leave,4.0,62
9162,leave,3.0,63
9163,leave,4.0,63
9164,stay,2.0,70
9165,leave,2.0,61
9166,don't know,,48
9167,stay,4.0,64
9168,leave,,50
9169,stay,5.0,40
9170,stay,4.0,40
9171,stay,4.0,68
9172,stay,4.0,57
9173,leave,4.0,54
9174,leave,5.0,67
9175,leave,3.0,50
9176,won't vote,,47
9177,leave,1.0,70
9178,leave,2.0,64
9179,stay,4.0,68
9180,stay,4.0,51
9181,don't know,2.0,62
9182,leave,1.0,58
9183,stay,4.0,38
9184,stay,4.0,74
9185,leave,3.0,62
9186,stay,4.0,44
9187,don't know,2.0,48
9188,stay,3.0,45
9189,stay,5.0,56
9190,stay,4.0,57
9191,leave,3.0,65
9192,leave,4.0,70
9193,stay,5.0,52
9194,leave,3.0,61
9195,leave,,69
9196,leave,3.0,66
9197,stay,3.0,67
9198,leave,3.0,41
9199,stay,4.0,67
9200,stay,3.0,55
9201,stay,4.0,69
9202,stay,4.0,39
9203,stay,4.0,63
9204,leave,2.0,59
9205,stay,4.0,55
9206,leave,4.0,53
9207,stay,2.0,57
9208,leave,4.0,66
9209,leave,4.0,58
9210,stay,3.0,64
9211,leave,4.0,68
9212,leave,4.0,59
9213,leave,3.0,58
9214,leave,3.0,76
9215,stay,4.0,59
9216,leave,,59
9217,don't know,2.0,67
9218,won't vote,1.0,59
9219,stay,3.0,78
9220,don't know,,57
9221,don't know,1.0,67
9222,stay,5.0,61
9223,leave,,63
9224,stay,4.0,48
9225,stay,2.0,52
9226,leave,2.0,68
9227,leave,2.0,56
9228,stay,,75
9229,stay,4.0,61
9230,don't know,2.0,47
9231,leave,4.0,59
9232,stay,5.0,54
9233,stay,4.0,65
9234,leave,2.0,76
9235,leave,2.0,70
9236,leave,,62
9237,stay,2.0,54
9238,stay,,65
9239,stay,4.0,61
9240,leave,5.0,64
9241,stay,4.0,41
9242,leave,,65
9243,stay,4.0,65
9244,leave,3.0,46
9245,stay,3.0,64
9246,leave,3.0,68
9247,leave,3.0,77
9248,stay,4.0,39
9249,leave,3.0,54
9250,stay,5.0,32
9251,stay,,55
9252,won't vote,2.0,66
9253,leave,,62
9254,stay,1.0,58
9255,leave,,41
9256,leave,4.0,67
9257,leave,2.0,61
9258,stay,4.0,25
9259,stay,2.0,41
9260,leave,,54
9261,stay,5.0,66
9262,stay,4.0,31
9263,stay,4.0,70
9264,stay,4.0,67
9265,stay,4.0,55
9266,leave,,56
9267,stay,5.0,39
9268,leave,3.0,47
9269,don't know,2.0,54
9270,stay,3.0,65
9271,leave,3.0,67
9272,leave,2.0,68
9273,leave,4.0,61
9274,stay,4.0,70
9275,stay,3.0,52
9276,stay,4.0,35
9277,stay,5.0,29
9278,leave,5.0,37
9279,leave,2.0,54
9280,leave,,70
9281,stay,4.0,54
9282,leave,3.0,71
9283,stay,4.0,48
9284,stay,4.0,35
9285,leave,4.0,64
9286,leave,2.0,53
9287,stay,5.0,64
9288,leave,1.0,75
9289,leave,4.0,72
9290,leave,2.0,78
9291,stay,5.0,61
9292,leave,3.0,58
9293,leave,2.0,74
9294,stay,3.0,50
9295,leave,4.0,72
9296,leave,4.0,80
9297,leave,4.0,66
9298,leave,2.0,57
9299,leave,2.0,62
9300,stay,2.0,68
9301,leave,4.0,67
9302,leave,3.0,68
9303,leave,2.0,54
9304,stay,3.0,43
9305,leave,2.0,71
9306,stay,4.0,68
9307,leave,,64
9308,stay,5.0,64
9309,leave,,58
9310,leave,,52
9311,stay,3.0,26
9312,leave,1.0,62
9313,leave,2.0,54
9314,leave,4.0,59
9315,leave,2.0,75
9316,stay,4.0,60
9317,stay,1.0,37
9318,stay,4.0,73
9319,leave,3.0,55
9320,stay,4.0,43
9321,stay,,74
9322,leave,2.0,61
9323,leave,4.0,72
9324,stay,4.0,61
9325,leave,2.0,48
9326,leave,4.0,54
9327,leave,4.0,60
9328,stay,3.0,55
9329,stay,,63
9330,leave,2.0,70
9331,stay,5.0,38
9332,stay,,63
9333,leave,3.0,70
9334,stay,2.0,73
9335,leave,1.0,69
9336,stay,1.0,76
9337,leave,,56
9338,stay,4.0,54
9339,leave,3.0,67
9340,stay,4.0,74
9341,stay,4.0,62
9342,leave,1.0,70
9343,leave,4.0,64
9344,stay,4.0,67
9345,leave,4.0,40
9346,stay,4.0,66
9347,don't know,1.0,51
9348,leave,4.0,79
9349,leave,,49
9350,leave,2.0,68
9351,stay,1.0,57
9352,leave,,68
9353,leave,,56
9354,stay,2.0,59
9355,leave,4.0,73
9356,stay,3.0,63
9357,stay,5.0,68
9358,leave,3.0,62
9359,stay,2.0,64
9360,leave,,79
9361,leave,2.0,47
9362,leave,2.0,65
9363,don't know,3.0,60
9364,stay,3.0,51
9365,leave,4.0,69
9366,won't vote,3.0,56
9367,leave,4.0,57
9368,leave,2.0,55
9369,stay,2.0,53
9370,leave,4.0,70
9371,stay,3.0,44
9372,leave,5.0,39
9373,don't know,2.0,48
9374,stay,4.0,39
9375,leave,,58
9376,stay,4.0,69
9377,stay,4.0,71
9378,stay,4.0,43
9379,leave,2.0,65
9380,leave,4.0,56
9381,leave,3.0,68
9382,stay,,48
9383,stay,2.0,52
9384,leave,3.0,54
9385,stay,4.0,53
9386,leave,2.0,67
9387,leave,3.0,71
9388,leave,4.0,49
9389,stay,2.0,48
9390,stay,4.0,58
9391,stay,4.0,68
9392,stay,1.0,72
9393,leave,2.0,72
9394,leave,,56
9395,stay,3.0,91
9396,leave,2.0,45
9397,leave,5.0,47
9398,stay,3.0,70
9399,stay,2.0,37
9400,stay,2.0,50
9401,leave,,68
9402,stay,4.0,66
9403,leave,5.0,57
9404,leave,4.0,55
9405,stay,5.0,37
9406,leave,2.0,58
9407,don't know,4.0,51
9408,leave,4.0,65
9409,stay,5.0,70
9410,stay,4.0,61
9411,leave,2.0,47
9412,leave,1.0,63
9413,leave,,55
9414,leave,4.0,66
9415,leave,1.0,68
9416,stay,4.0,60
9417,leave,3.0,35
9418,leave,3.0,42
9419,leave,1.0,32
9420,stay,,49
9421,stay,,53
9422,leave,4.0,68
9423,stay,2.0,56
9424,leave,4.0,35
9425,stay,1.0,55
9426,leave,4.0,62
9427,leave,5.0,64
9428,leave,1.0,62
9429,leave,1.0,28
9430,stay,1.0,70
9431,stay,3.0,44
9432,leave,3.0,65
9433,leave,3.0,43
9434,leave,5.0,32
9435,leave,4.0,35
9436,leave,4.0,65
9437,leave,4.0,83
9438,leave,2.0,57
9439,won't vote,3.0,55
9440,leave,4.0,61
9441,leave,2.0,78
9442,stay,4.0,71
9443,don't know,3.0,64
9444,leave,4.0,59
9445,leave,1.0,72
9446,don't know,,53
9447,stay,4.0,81
9448,leave,3.0,46
9449,leave,,30
9450,stay,3.0,54
9451,stay,1.0,63
9452,leave,,49
9453,stay,4.0,76
9454,won't vote,,62
9455,leave,4.0,68
9456,stay,3.0,53
9457,stay,5.0,57
9458,don't know,4.0,67
9459,stay,4.0,65
9460,leave,4.0,49
9461,stay,4.0,48
9462,stay,4.0,59
9463,leave,5.0,74
9464,stay,3.0,71
9465,don't know,5.0,60
9466,stay,,51
9467,leave,1.0,60
9468,stay,4.0,59
9469,leave,2.0,48
9470,leave,2.0,74
9471,stay,3.0,68
9472,stay,3.0,58
9473,stay,4.0,59
9474,stay,4.0,74
9475,leave,2.0,71
9476,leave,4.0,55
9477,leave,1.0,60
9478,leave,4.0,42
9479,leave,3.0,65
9480,stay,4.0,52
9481,leave,4.0,69
9482,stay,3.0,54
9483,stay,4.0,43
9484,stay,1.0,64
9485,leave,3.0,55
9486,leave,2.0,67
9487,leave,,68
9488,leave,3.0,46
9489,stay,4.0,69
9490,don't know,2.0,53
9491,stay,3.0,70
9492,stay,3.0,64
9493,stay,3.0,36
9494,leave,4.0,73
9495,leave,3.0,68
9496,leave,2.0,57
9497,stay,2.0,57
9498,leave,3.0,66
9499,stay,2.0,54
9500,leave,3.0,69
9501,leave,3.0,66
9502,leave,,59
9503,stay,1.0,70
9504,stay,2.0,74
9505,leave,1.0,74
9506,stay,,79
9507,leave,4.0,66
9508,stay,1.0,59
9509,leave,,67
9510,leave,4.0,60
9511,stay,3.0,63
9512,stay,2.0,54
9513,leave,5.0,41
9514,stay,4.0,67
9515,don't know,2.0,43
9516,leave,2.0,55
9517,stay,4.0,65
9518,stay,2.0,49
9519,stay,4.0,59
9520,leave,2.0,65
9521,leave,2.0,73
9522,stay,2.0,56
9523,don't know,4.0,44
9524,leave,3.0,61
9525,leave,2.0,68
9526,stay,3.0,56
9527,don't know,1.0,68
9528,stay,2.0,51
9529,leave,4.0,48
9530,stay,2.0,53
9531,stay,3.0,70
9532,don't know,4.0,56
9533,stay,3.0,47
9534,leave,,62
9535,stay,3.0,69
9536,stay,4.0,63
9537,leave,3.0,64
9538,leave,2.0,59
9539,leave,2.0,71
9540,stay,4.0,57
9541,leave,4.0,40
9542,don't know,3.0,59
9543,stay,,84
9544,leave,4.0,74
9545,don't know,2.0,56
9546,leave,3.0,60
9547,leave,3.0,62
9548,stay,5.0,70
9549,leave,3.0,59
9550,leave,3.0,56
9551,stay,1.0,72
9552,leave,4.0,27
9553,leave,2.0,61
9554,leave,5.0,69
9555,leave,4.0,69
9556,leave,,45
9557,stay,2.0,63
9558,stay,,58
9559,don't know,4.0,39
9560,stay,4.0,62
9561,stay,,65
9562,stay,3.0,59
9563,won't vote,2.0,32
9564,stay,4.0,67
9565,leave,4.0,73
9566,stay,3.0,59
9567,stay,2.0,71
9568,leave,3.0,61
9569,leave,1.0,53
9570,stay,3.0,59
9571,stay,4.0,55
9572,stay,5.0,40
9573,stay,5.0,63
9574,stay,4.0,51
9575,stay,3.0,27
9576,leave,2.0,51
9577,don't know,,36
9578,stay,4.0,62
9579,don't know,2.0,37
9580,stay,4.0,53
9581,stay,,40
9582,stay,4.0,73
9583,stay,4.0,72
9584,leave,2.0,54
9585,stay,4.0,73
9586,leave,4.0,58
9587,leave,3.0,60
9588,leave,2.0,50
9589,stay,4.0,57
9590,won't vote,1.0,34
9591,stay,4.0,67
9592,leave,3.0,56
9593,leave,4.0,55
9594,stay,1.0,60
9595,leave,3.0,51
9596,stay,1.0,43
9597,stay,3.0,75
9598,don't know,4.0,39
9599,leave,,67
9600,stay,4.0,32
9601,don't know,4.0,46
9602,leave,2.0,73
9603,stay,4.0,55
9604,stay,5.0,30
9605,stay,2.0,64
9606,stay,4.0,34
9607,stay,4.0,68
9608,leave,4.0,51
9609,leave,3.0,63
9610,leave,,78
9611,stay,3.0,58
9612,leave,5.0,71
9613,stay,5.0,68
9614,leave,4.0,56
9615,stay,4.0,56
9616,leave,1.0,60
9617,leave,2.0,70
9618,leave,4.0,53
9619,stay,1.0,72
9620,leave,2.0,60
9621,leave,2.0,48
9622,leave,4.0,64
9623,leave,4.0,66
9624,leave,3.0,61
9625,leave,5.0,36
9626,leave,,40
9627,stay,2.0,60
