,intended vote,education,age
295,stay,,71
296,leave,1.0,61
297,stay,4.0,61
298,leave,2.0,48
299,leave,2.0,57
300,stay,3.0,32
301,stay,4.0,44
302,leave,4.0,49
303,stay,4.0,53
304,leave,5.0,28
305,don't know,,45
306,don't know,3.0,60
307,leave,4.0,65
308,stay,4.0,37
309,won't vote,5.0,31
310,stay,1.0,72
311,stay,,33
312,stay,4.0,63
313,don't know,,69
314,leave,4.0,59
315,stay,4.0,51
316,stay,,64
317,stay,4.0,43
318,stay,4.0,69
319,don't know,5.0,36
320,leave,,32
321,leave,2.0,70
322,stay,4.0,53
323,leave,2.0,65
324,leave,3.0,62
325,stay,3.0,64
326,stay,3.0,68
327,leave,4.0,39
328,stay,4.0,31
329,stay,4.0,36
330,leave,4.0,56
331,leave,4.0,68
332,stay,4.0,48
333,stay,,61
334,leave,1.0,57
335,stay,4.0,61
336,leave,,55
337,stay,4.0,35
338,stay,3.0,51
339,stay,4.0,54
340,don't know,,44
341,stay,2.0,56
342,don't know,4.0,34
343,stay,5.0,36
344,leave,2.0,71
345,leave,,58
346,leave,,40
347,stay,2.0,58
348,leave,4.0,53
349,stay,4.0,48
350,leave,2.0,43
351,stay,5.0,69
352,stay,5.0,44
353,stay,4.0,56
354,don't know,1.0,63
355,leave,,60
356,leave,4.0,57
357,leave,3.0,70
358,leave,5.0,59
359,stay,3.0,61
360,stay,4.0,58
361,stay,4.0,62
362,stay,3.0,51
363,leave,4.0,55
364,stay,4.0,62
365,stay,4.0,43
366,stay,3.0,58
367,stay,4.0,48
368,stay,5.0,57
369,stay,5.0,57
370,leave,4.0,62
371,stay,5.0,37
372,leave,4.0,62
373,leave,2.0,71
374,leave,5.0,41
375,stay,4.0,45
376,leave,4.0,47
377,leave,4.0,64
378,stay,4.0,46
379,stay,4.0,61
380,leave,4.0,63
381,stay,4.0,53
382,leave,4.0,61
383,leave,,69
384,stay,4.0,58
385,stay,4.0,65
386,leave,5.0,61
387,stay,4.0,67
388,stay,3.0,56
389,stay,5.0,70
390,leave,5.0,71
391,stay,4.0,45
392,leave,4.0,65
393,leave,4.0,58
394,leave,5.0,59
395,stay,3.0,45
396,don't know,4.0,65
397,leave,1.0,65
398,stay,4.0,65
399,stay,5.0,39
400,leave,4.0,51
401,leave,5.0,51
402,leave,2.0,56
403,leave,1.0,70
404,stay,4.0,54
405,stay,4.0,67
406,stay,3.0,63
407,leave,4.0,55
408,stay,4.0,43
409,stay,5.0,44
410,stay,5.0,61
411,stay,4.0,66
412,stay,5.0,57
413,stay,4.0,59
414,leave,5.0,62
415,leave,,70
416,leave,4.0,61
417,leave,5.0,65
418,leave,5.0,69
419,stay,5.0,57
420,stay,4.0,60
421,leave,4.0,70
422,don't know,5.0,53
423,leave,2.0,70
424,don't know,,66
425,stay,4.0,43
426,stay,4.0,44
427,leave,4.0,61
428,leave,4.0,61
429,leave,4.0,73
430,stay,3.0,63
431,leave,4.0,63
432,stay,5.0,55
433,leave,3.0,64
434,leave,4.0,61
435,stay,5.0,58
436,stay,4.0,42
437,leave,3.0,59
438,leave,3.0,51
439,leave,4.0,50
440,leave,1.0,45
441,leave,4.0,57
442,stay,4.0,52
443,leave,,69
444,stay,4.0,44
445,stay,,68
446,stay,2.0,40
447,stay,,54
448,leave,2.0,49
449,stay,5.0,39
450,stay,4.0,54
451,leave,4.0,67
452,leave,5.0,48
453,leave,4.0,74
454,stay,,65
455,stay,4.0,70
456,leave,,63
457,leave,4.0,41
458,stay,2.0,67
459,stay,3.0,36
460,stay,3.0,45
461,stay,5.0,49
462,stay,4.0,65
463,stay,4.0,65
464,leave,5.0,51
465,leave,4.0,65
466,leave,2.0,64
467,leave,5.0,60
468,stay,5.0,56
469,leave,,66
470,leave,1.0,61
471,stay,,58
472,stay,3.0,71
473,leave,3.0,63
474,leave,3.0,65
475,leave,4.0,62
476,leave,4.0,73
477,stay,4.0,53
478,stay,4.0,63
479,stay,4.0,37
480,leave,4.0,65
481,leave,2.0,56
482,stay,4.0,44
483,stay,5.0,50
484,stay,4.0,65
485,stay,4.0,61
486,stay,4.0,54
487,leave,4.0,35
488,stay,4.0,64
489,stay,3.0,47
490,leave,5.0,73
491,leave,4.0,70
492,won't vote,5.0,59
493,leave,1.0,65
494,stay,2.0,50
495,leave,4.0,50
496,leave,4.0,56
497,stay,5.0,49
498,leave,4.0,64
499,leave,4.0,63
500,stay,4.0,61
501,leave,4.0,73
502,stay,2.0,65
503,stay,4.0,68
504,stay,5.0,66
505,leave,4.0,55
506,stay,4.0,66
507,leave,4.0,70
508,leave,4.0,78
509,stay,5.0,46
510,leave,5.0,52
511,stay,,45
512,stay,3.0,47
513,leave,2.0,66
514,leave,4.0,50
515,stay,3.0,42
516,stay,4.0,59
517,stay,5.0,53
518,stay,4.0,67
519,leave,2.0,56
520,stay,4.0,60
521,leave,1.0,61
522,leave,2.0,59
523,leave,3.0,56
524,leave,3.0,69
525,stay,4.0,67
526,leave,2.0,51
527,leave,4.0,70
528,leave,5.0,57
529,stay,4.0,49
530,leave,4.0,59
531,stay,4.0,61
532,leave,4.0,66
533,stay,5.0,46
534,don't know,4.0,56
535,stay,2.0,52
536,stay,4.0,70
537,leave,,70
538,leave,3.0,71
539,stay,4.0,59
540,leave,3.0,70
541,stay,4.0,61
542,stay,4.0,47
543,leave,4.0,43
544,stay,4.0,42
545,stay,4.0,51
546,leave,4.0,47
547,stay,2.0,69
548,leave,2.0,42
549,stay,2.0,44
550,stay,,63
551,stay,5.0,49
552,leave,4.0,62
553,stay,5.0,51
554,stay,5.0,53
555,leave,,63
556,stay,4.0,44
557,stay,5.0,69
558,leave,5.0,62
559,leave,5.0,54
560,leave,4.0,61
561,stay,4.0,47
562,leave,4.0,63
563,leave,4.0,68
564,stay,4.0,41
565,stay,5.0,58
566,leave,4.0,65
567,stay,2.0,58
568,leave,3.0,69
569,stay,4.0,48
570,stay,4.0,35
571,leave,3.0,51
572,leave,5.0,67
573,stay,5.0,50
574,leave,4.0,70
575,leave,4.0,72
